2473140581	2836	3548
5524450678	1942	213
5604407681	1413	39
5611385273	1156	52
5558131370	1962	76
1889242475	381	3439
5579932816	1928	101
3278240895	1923	852
2419212263	123	1332
2147042240	1772	89
3969225007	1998	168
3240727440	1660	512
5395995615	1821	39
3218607082	1917	109
5238256269	1556	81
1739316512	2313	10966
2494797501	117	1471
3287109265	1943	143
3241375354	1939	130
5215076042	1877	110
3241369150	1961	118
2473140581	2836	3548
5524450678	1942	213
5604407681	1413	39
5611385273	1156	52
5558131370	1962	76
1889242475	381	3439
5579932816	1928	101
3278240895	1923	852
2419212263	123	1332
2147042240	1772	89
3969225007	1998	168
3240727440	1660	512
5395995615	1821	39
3218607082	1917	109
5238256269	1556	81
1739316512	2313	10966
2494797501	117	1471
3287109265	1943	143
3241375354	1939	130
5215076042	1876	109
3241369150	1961	118
1223178222	690	35030071
3215106567	129	73896
2782753493	15	1756250
3125368791	281	844395
3125368511	302	1431495
5653311238	33	36118
5466286143	59	1843904
3125368501	442	3873952
5281397011	40	16357
2260118097	327	580733
1195054531	140	1831151
2042384407	2264	1259312
1722656062	242	10289768
2419212263	123	1332
2619981000	311	2865513
1937439635	76	22837022
3901429666	44	1317676
5187664653	130	35096118
2322075784	107	1582
1739046981	185	4582846
3198152780	221	456192
1217168027	1092	472814
5098547539	579	1666478
1868478315	358	3551338
1755370981	502	18588528
1713926427	840	26404017
1930656003	53	16646
2702971342	304	1295
5136753689	73	3113819
1773525641	141	989746
1759328987	237	1813023
2255761390	239	828463
1658658821	1050	465111
1739928273	62	15955197
2764013814	66	2485188
3281622755	631	1240
2102369897	172	1544
1822299354	390	3165646
1761179351	244	10166498
3743032224	184	1069
3295937817	11	5229983
2012582342	1267	128910
1992643540	853	230542
2049875433	35	861675
2074508144	63	476075
2473140581	2836	3548
5524450678	1942	213
5604407681	1413	39
5611385273	1156	52
5558131370	1962	76
1889242475	381	3439
5579932816	1928	101
3278240895	1923	852
2419212263	123	1332
2147042240	1772	89
3969225007	1998	168
3240727440	1660	512
5395995615	1821	39
3218607082	1917	109
5238256269	1556	81
1739316512	2313	10966
2494797501	117	1471
3287109265	1943	143
3241375354	1939	130
5215076042	1876	109
3241369150	1961	118
1223178222	690	35030266
3215106567	129	73899
2782753493	15	1756270
3125368791	281	844396
3125368511	302	1431495
5653311238	33	36118
5466286143	59	1844014
3125368501	442	3873984
5281397011	40	16357
2260118097	327	580731
1195054531	140	1831204
2042384407	2264	1259319
1722656062	242	10289775
2419212263	123	1332
2619981000	311	2865514
1937439635	76	22837019
3901429666	44	1317676
5187664653	130	35096299
2322075784	107	1582
1739046981	185	4582863
3198152780	221	456192
1217168027	1092	472814
5098547539	579	1666482
1868478315	358	3551346
1755370981	502	18588537
1713926427	840	26404076
1930656003	53	16646
2702971342	304	1295
5136753689	73	3113838
1773525641	141	989746
1759328987	237	1813025
2255761390	239	828464
1658658821	1050	465114
1739928273	62	15955232
2764013814	66	2485189
3281622755	631	1240
2102369897	172	1544
1822299354	390	3165646
1761179351	244	10166492
3743032224	184	1069
3295937817	11	5230018
2012582342	1267	128909
1992643540	853	230542
2049875433	35	861677
2074508144	63	476073
5579317617	1197	11531
2671109275	1903	118188137
5408006106	218	105795
5264602025	66	2110
2883839094	1007	503
1308632251	1776	54246
1751013364	3020	2085
3724625604	182	2006
1889618181	372	1425
1060882720	636	8957
3847151504	752	4365
1649274651	380	1412
2640651921	81	1211
3986774075	961	21090
1735277452	501	10062
1767092832	1854	59698
2527176397	2789	30981
2197747120	829	4386
1348569363	781	1950
1692336615	159	18311
1732282064	401	2455
2202941172	309	257093
1676822955	572	1854
3769756632	1867	277
3831677550	1985	283
2945428463	2306	473
5334375904	1083	105
2663425701	228	1079
2918388703	1220	21
5532819336	1486	1403
2112948031	1093	1155
5603246968	1909	72
5602871107	1939	59
5604771169	1355	41
5606655556	1085	27
5102955826	670	4864
5482436878	1422	191
5496926333	1517	42
1663841771	2731	11586
5257627148	1779	124
5489171304	54	2584968
5608433557	8	68941155
2266436321	281	173743
1780449391	77	113421
2945428463	2306	473
2164623652	91	191535
1818706192	34	208730
5181054371	102	41614
1289997621	175	16180726
1815418641	266	12101138
2657303805	16	6655713
2663425701	228	1079
5088727174	119	652869
2112948031	1093	1155
2835392520	207	773288
5102955826	670	4864
1822430437	1139	1917413
2182038504	320	9417295
2204021152	1804	820933
2792309590	79	750399
1615743184	2180	5452182
3248205960	123	1996
1789501184	109	5790940
5145708188	944	1023
2671109275	1903	118188848
